CUSTOMER_ID,CHECK_ID,BANK_ACCOUNT_ID,AMOUNT,CREATE_DATE,USER_ID,CHECK_DATE,STATUS,SELL_RATE,BUY_RATE,POSTING_DATE,ENTITY_ID,DEPOSIT_ID,MARKED_FOR_PURGE,PAYMENT_METHOD,CURRENCY_ID,USER_EXCH_RATE,VOID_DATE,VOID_CLEARED_DATE
TA0010,TRANSF. BANC,014776993-4,20384.99,3/7/2002,SYSADM,2/14/2002,A,1,1,2/14/2002,GENIN,01,N,C,MEX$,N,,
TA0010,TRANSF. BANC.,014776993-4,14096.41,3/7/2002,SYSADM,2/22/2002,A,1,1,2/22/2002,GENIN,01,N,C,MEX$,N,,
TA0010,TRANSF.BANC.,014776993-4,10998.83,3/7/2002,SYSADM,2/25/2002,A,1,1,2/25/2002,GENIN,01,N,C,MEX$,N,,
CA0016,EFEVO,014776993-4,667,3/7/2002,SYSADM,2/4/2002,A,1,1,2/4/2002,GENIN,02,N,C,MEX$,N,,
TA-0011,EFEVO,014776993-4,511.75,3/7/2002,SYSADM,2/8/2002,A,1,1,2/8/2002,GENIN,03,N,C,MEX$,N,,
DA0003,NO DISP,014776993-4,954.34,3/7/2002,SYSADM,3/1/2002,A,1,1,3/1/2002,GENIN,04,N,C,MEX$,N,,
CA0018,EFECTIVO,014776993-4,1035,3/7/2002,SYSADM,2/23/2002,A,1,1,2/23/2002,GENIN,05,N,C,MEX$,N,,
CA0006,NO DISP.,014776993-4,934.62,3/7/2002,SYSADM,2/25/2002,A,1,1,2/25/2002,GENIN,06,N,C,MEX$,N,,
CA0006,22940,34937,1013.81,3/12/2002,SYSADM,3/12/2002,A,1,1,3/12/2002,GENIN,06,N,C,MEX$,N,,
CF0002,0653296,34937,5175,3/12/2002,SYSADM,3/12/2002,A,1,1,3/12/2002,GENIN,07,N,C,MEX$,N,,
CA0020,EFECTIVO,34937,517.5,3/13/2002,SYSADM,3/13/2002,A,1,1,3/13/2002,GENIN,08,N,C,MEX$,N,,
CA0017,9924 SERFIN,34937,22586,3/13/2002,SYSADM,3/13/2002,A,1,1,3/13/2002,GENIN,09,N,C,MEX$,N,,
CA0017,16631 BANORTE,34937,1520.7,3/13/2002,SYSADM,3/13/2002,A,1,1,3/13/2002,GENIN,09,N,C,MEX$,N,,
CA0017,SERFIN,34937,10432.8,3/15/2002,SYSADM,3/13/2002,A,1,1,3/13/2002,GENIN,09,N,C,MEX$,N,,
CA0017,BANORTE,34937,506.91,3/15/2002,SYSADM,3/13/2002,A,1,1,3/13/2002,GENIN,09,N,C,MEX$,N,,
CA0014,TRANSF BANC,014776993-4,22181.43,3/15/2002,SYSADM,3/15/2002,A,1,1,3/15/2002,GENIN,10,N,C,MEX$,N,,
CA0018,0085 BANORTE,014776993-4,764.75,3/18/2002,SYSADM,3/18/2002,A,1,1,3/18/2002,GENIN,05,N,C,MEX$,N,,
DA0005,8885,014776993-4,598,3/19/2002,SYSADM,3/19/2002,A,1,1,3/19/2002,GENIN,11,N,C,MEX$,N,,
CA0017,0046 BANORTE,34937,1505.01,3/25/2002,SYSADM,3/25/2002,A,1,1,3/25/2002,GENIN,09,N,C,MEX$,N,,
CA0006,0012 BANORTE,34937,7672.8,3/25/2002,SYSADM,3/25/2002,A,1,1,3/25/2002,GENIN,06,N,C,MEX$,N,,
