CUST_ORDER_ID,LINE_NO,PART_ID,CUSTOMER_PART_ID,UNIT_PRICE,WIP_VAS_UNIT_PRICE,ACCEPT_EARLY,DAYS_EARLY,ORDER_TYPE,LINE_STATUS,ORDER_QTY,USER_ORDER_QTY,SELLING_UM,DESIRED_SHIP_DATE,HTS_CODE,TRADE_DISC_PERCENT,EST_FREIGHT,COMMISSION_PCT,SALES_TAX_GROUP_ID,MISC_REFERENCE,PRODUCT_CODE,COMMODITY_CODE,DRAWING_ID,DRAWING_REV_NO,GL_REVENUE_ACCT_ID,MAT_GL_ACCT_ID,LAB_GL_ACCT_ID,BUR_GL_ACCT_ID,SER_GL_ACCT_ID,LAST_SHIPPED_DATE,TOTAL_ACT_FREIGHT,TOTAL_SHIPPED_QTY,TOTAL_USR_SHIP_QTY,TOTAL_AMT_SHIPPED,TOTAL_AMT_ORDERED,PROMISE_DATE,SERVICE_CHARGE_ID,PIECE_COUNT,LENGTH,WIDTH,HEIGHT,DIMENSIONS_UM,VAT_CODE,EDI_BLANKET_QTY,EDI_BLANKET_USRQTY,EDI_ACCUM_QTY_REL,EDI_ACCUM_USR_REL,EDI_ACCUM_QTY_REC,EDI_ACCUM_USR_REC,EDI_LAST_REC_DATE,EDI_RELEASE_NO,EDI_RELEASE_DATE,EDI_QTY_RELEASED,EDI_USR_QTY_REL,EDI_REQ_REL_DATE,SHIPTO_ID,WAREHOUSE_ID,ORIG_COUNTRY_ID,TYPE,ALLOCATED_QTY,FULFILLED_QTY,EDI_ACCUM_FAB_QTY,EDI_ACCUM_RAW_QTY,EDI_LAST_SHIPDATE,EDI_ACCUM_SHIP_QTY,ACK_ID,EDI_ACCUM_SHIP_ADJ,USER_1,USER_2,USER_3,USER_4,USER_5,USER_6,USER_7,USER_8,USER_9,USER_10,UDF_LAYOUT_ID,SEND_ACK,VAT_CATEGORY,ITA_SPECIAL_CHARGE
D-00026,1,23844,,0,0,Y,9999,,A,3000,3000,KG,,,0,0,,,PVH 2000,PROTEINAS,,,,,,,,,18-Jan-02,0,3000,3000,0,0,,,,,,,,,,,,,,,,,,,,,,SENSIENT,,,0,0,,,,,,,,,,,,,,,,,,Y,,
D-00027,1,23844,,0,0,Y,9999,,A,3000,3000,KG,,,0,0,,,PVH 2000,PROTEINAS,,,,,,,,,21-Jan-02,0,3000,3000,0,0,,,,,,,,,,,,,,,,,,,,,,SENSIENT,,,0,0,,,,,,,,,,,,,,,,,,Y,,
D-00028,1,25866,,0,0,Y,9999,,A,816.48,816.48,KG,,,0,0,,,HARINA SOYA DESG. S/P 22.68 KG,HARINA,,,,,,,,,14-Jan-02,0,816.48,816.48,0,0,,,,,,,,,,,,,,,,,,,,,,SENSIENT,,,0,0,,,,,,,,,,,,,,,,,,Y,,
D-00025,1,25866,,0,0,Y,9999,,A,2494.8,2494.8,KG,,,0,0,,,HARINA SOYA DESG. S/P 22.68 KG,HARINA,,,,,,,,,17-Jan-02,0,2494.8,2494.8,0,0,,,,,,,,,,,,,,,,,,,,,,SENSIENT,,,0,0,,,,,,,FAC-1778,,,,,,,,,,,Y,,
P06211,2,LG1702,,49,0,Y,9999,,A,1,1,PZA,,,0,0,,,SALSA TIPO CATSUP/CAJA 204SOBRES 8G,,,,,,,,,,13-Sep-12,0,1,1,49,49,,,,,,,,IVA0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,
P06212,1,RG1510,,460,0,Y,9999,,A,1,1,PZA,,,0,0,,,ACEITE AVE (CAJA 2 BIDONES DE 10 L C/U),ACEITES,Food Service,,,,,,,,13-Sep-12,0,1,1,460,460,,,,,,,,IVA0,,,,,,,,,,,,,,ALM-BT,,,0,0,,,,,,,,,,,,,,,,,,,,
P06212,2,LG1702,,49,0,Y,9999,,A,1,1,PZA,,,0,0,,,SALSA TIPO CATSUP/CAJA 204SOBRES 8G,,,,,,,,,,13-Sep-12,0,1,1,49,49,,,,,,,,IVA0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,
P06211,1,RG1510,,455,0,Y,9999,,A,1,1,PZA,,,0,0,,,ACEITE AVE (CAJA 2 BIDONES DE 10 L C/U),ACEITES,Food Service,,,,,,,,13-Sep-12,0,1,1,455,455,,,,,,,,IVA0,,,,,,,,,,,,,,ALM-BT,,,0,0,,,,,,,,,,,,,,,,,,,,
P06214,1,RG1510,,460,0,Y,9999,,A,5,5,PZA,,,0,0,,,ACEITE AVE (CAJA 2 BIDONES DE 10 L C/U),ACEITES,Food Service,,,,,,,,13-Sep-12,0,5,5,2300,2300,,,,,,,,IVA0,,,,,,,,,,,,,,ALM-BT,,,0,0,,,,,,,,,,,,,,,,,,,,
P06215,1,RG1510,,460,0,Y,9999,,A,1,1,PZA,,,0,0,,,ACEITE AVE (CAJA 2 BIDONES DE 10 L C/U),ACEITES,Food Service,,,,,,,,14-Sep-12,0,1,1,460,460,,,,,,,,IVA0,,,,,,,,,,,,,,ALM-BT,,,0,0,,,,,,,,,,,,,,,,,,,,
D-00001,1,25767,,0,0,Y,9999,,A,990,990,KG,,,0,0,,,PROLAC AEF S/P 30 KGS.,PROTEINAS,,,,,,,,,09-Jan-02,0,990,990,0,0,,,,,,,,,,,,,,,,,,,,,,SENSIENT,,,0,0,,,,,,,,,,,,,,,,,,Y,,
P06213,1,2888063,,20.2,0,Y,9999,,A,200,200,KG,,,0,0,,,00093 MANGO SABOR FELCOFIX 996651M 40KG,SABORES,Confectionery,,,,,,,,12-Oct-12,0,200,200,4040,4040,,,,,,,,IVA,,,,,,,,,,,,,,ALM-GENERAL,,,0,0,,,,,,,,,,,,,,,,,,,,
D-00002,1,25866,,0,0,Y,9999,,A,226.8,226.8,KG,,,0,0,,,HARINA SOYA DESG. S/P 22.68 KG,HARINA,,,,,,,,,04-Jan-02,0,226.8,226.8,0,0,,,,,,,,,,,,,,,,,,,,,,SENSIENT,,,0,0,,,,,,,,,,,,,,,,,,Y,,
D-00002,2,24530,,0,0,Y,9999,,C,226.8,226.8,KG,,,0,0,,,DELTAROME 2300,PROTEINAS,,,,,,,,,04-Jan-02,0,68.04,68.04,0,0,,,,,,,,,,,,,,,,,,,,,,SENSIENT,,,0,0,,,,,,,,,,,,,,,,,,Y,,
D-00003,1,25866,,0,0,Y,9999,,A,2494.8,2494.8,KG,,,0,0,,,HARINA SOYA DESG. S/P 22.68 KG,HARINA,,,,,,,,,03-Jan-02,0,2494.8,2494.8,0,0,,,,,,,,,,,,,,,,,,,,,,SENSIENT,,,0,0,,,,,,,,,,,,,,,,,,Y,,
D-00004,1,25767,,0,0,Y,9999,,A,990,990,KG,,,0,0,,,PROLAC AEF S/P 30 KGS.,PROTEINAS,,,,,,,,,29-Dec-01,0,990,990,0,0,,,,,,,,,,,,,,,,,,,,,,SENSIENT,,,0,0,,,,,,,,,,,,,,,,,,Y,,
D-00005,1,25572,,0,0,Y,9999,,C,2150,2150,KG,,,0,0,,,PROLAC DD 126 4H (S/P 25 KGS),PROTEINAS,,,,,,,,,28-Dec-01,0,1575,1575,0,0,,,,,,,,,,,,,,,,,,,,,,SENSIENT,,,0,0,,,,,,,,,,,,,,,,,,Y,,
D-00006,1,25834,,0,0,Y,9999,,A,100,100,KG,,,0,0,,,PROLAC 200,PROTEINAS,,,,,,,,,28-Dec-01,0,100,100,0,0,,,,,,,,,,,,,,,,,,,,,,SENSIENT,,,0,0,,,,,,,,,,,,,,,,,,Y,,
D-00007,1,23535,,0,0,Y,9999,,A,1410,1410,KG,,,0,0,,,PVH M S/A S/P 30 KG,PROTEINAS,,,,,,,,,20-Dec-01,0,1410,1410,0,0,,,,,,,,,,,,,,,,,,,,,,SENSIENT,,,0,0,,,,,,,FAC-1655,,,,,,,,,,,Y,,
D-00008,1,23535,,0,0,Y,9999,,A,60,60,KG,,,0,0,,,PVH M S/A S/P 30 KG,PROTEINAS,,,,,,,,,27-Dec-01,0,60,60,0,0,,,,,,,,,,,,,,,,,,,,,,SENSIENT,,,0,0,,,,,,,,,,,,,,,,,,Y,,
D-00009,1,25866,,0,0,Y,9999,,A,2494.8,2494.8,KG,,,0,0,,,HARINA SOYA DESG. S/P 22.68 KG,HARINA,,,,,,,,,27-Dec-01,0,2494.8,2494.8,0,0,,,,,,,,,,,,,,,,,,,,,,SENSIENT,,,0,0,,,,,,,,,,,,,,,,,,Y,,
D-00010,1,25866,,0,0,Y,9999,,A,1360.8,1360.8,KG,,,0,0,,,HARINA SOYA DESG. S/P 22.68 KG,HARINA,,,,,,,,,21-Dec-01,0,1360.8,1360.8,0,0,,,,,,,,,,,,,,,,,,,,,,SENSIENT,,,0,0,,,,,,,,,,,,,,,,,,Y,,
D-00011,1,25767,,0,0,Y,9999,,A,990,990,KG,,,0,0,,,PROLAC AEF S/P 30 KGS.,PROTEINAS,,,,,,,,,21-Dec-01,0,990,990,0,0,,,,,,,,,,,,,,,,,,,,,,SENSIENT,,,0,0,,,,,,,,,,,,,,,,,,Y,,
D-00012,1,23535,,0,0,Y,9999,,A,1020,1020,KG,,,0,0,,,PVH M S/A S/P 30 KG,PROTEINAS,,,,,,,,,20-Dec-01,0,1020,1020,0,0,,,,,,,,,,,,,,,,,,,,,,SENSIENT,,,0,0,,,,,,,,,,,,,,,,,,Y,,
D-00013,1,23535,,0,0,Y,9999,,A,2010,2010,KG,,,0,0,,,PVH M S/A S/P 30 KG,PROTEINAS,,,,,,,,,21-Dec-01,0,2010,2010,0,0,,,,,,,,,,,,,,,,,,,,,,SENSIENT,,,0,0,,,,,,,,,,,,,,,,,,Y,,
D-00014,1,23844,,0,0,Y,9999,,A,1860,1860,KG,,,0,0,,,PVH 2000,PROTEINAS,,,,,,,,,20-Dec-01,0,1860,1860,0,0,,,,,,,,,,,,,,,,,,,,,,SENSIENT,,,0,0,,,,,,,,,,,,,,,,,,Y,,
