INVOICE_ID,CUSTOMER_ID,TYPE,INVOICE_DATE,TOTAL_AMOUNT,PAID_AMOUNT,DISCOUNT_GIVEN,LAST_PAID_DATE,ZERO_DATE,TERMS_NET_TYPE,TERMS_NET_DAYS,TERMS_NET_DATE,TERMS_DISC_TYPE,TERMS_DISC_DAYS,TERMS_DISC_DATE,TERMS_DISC_PERCENT,TERMS_DESCRIPTION,FREIGHT_TERMS,CREATE_DATE,USER_ID,STATUS,PREPAY_ORDER_ID,PREPAY_INVOICE_ID,SELL_RATE,BUY_RATE,POSTING_DATE,ENTITY_ID,RECV_GL_ACCT_ID,MARKED_FOR_PURGE,NEW_SELL_RATE,NEW_BUY_RATE,PRINTED_DATE,VAT_BOOK_CODE,VAT_REPORT_NO,VAT_FILENAME,RCR_INVOICE_ID,CURRENCY_ID,USER_EXCH_RATE,SALESREP_ID,COMM_PAID_AMOUNT
00002,TA0010,I,29-Jan-02,20384.99,20384.99,0,14-Feb-02,07-Mar-02,A,,,A,,,,,B,29-Jan-02,SYSADM,A,,,1,1,29-Jan-02,GENIN,1234,N,,,25-Jan-06,,,,,MEX$,N,,0
00009,TA0010,I,02-Feb-02,14096.41,14096.41,0,22-Feb-02,07-Mar-02,A,,,A,,,,,B,04-Feb-02,HOMERO,A,,,1,1,02-Feb-02,GENIN,1234,N,,,23-Feb-02,,,,,MEX$,N,,0
00010,CA0016,I,04-Feb-02,667,667,0,04-Feb-02,07-Mar-02,A,0,,A,0,,0,,B,04-Feb-02,HOMERO,A,,,1,1,04-Feb-02,GENIN,1234,N,,,23-Feb-02,,,,,MEX$,N,,0
00013,TA-0011,I,08-Feb-02,511.75,511.75,0,08-Feb-02,07-Mar-02,A,0,,A,0,,0,,B,08-Feb-02,HOMERO,A,,,1,1,08-Feb-02,GENIN,1234,N,,,23-Feb-02,,,,,MEX$,N,,0
00053,CA0014,I,28-Feb-02,22181.43,22181.43,0,16-Apr-02,17-Apr-02,A,28,,A,0,,0,,B,28-Feb-02,SYSADM,A,,,1,1,28-Feb-02,GENIN,0010301,N,,,28-Feb-02,,,,,MEX$,N,,0
00054,CA0014,I,28-Feb-02,32619.75,32619.75,0,05-Apr-02,08-Apr-02,A,28,,A,0,,0,,B,28-Feb-02,SYSADM,A,,,1,1,28-Feb-02,GENIN,0010301,N,,,28-Feb-02,,,,,MEX$,N,,0
00156,DA0008,I,16-Apr-02,394.45,394.45,0,18-Apr-02,22-Apr-02,A,0,,A,0,,0,CONTADO,B,16-Apr-02,SYSADM,A,,,1,1,16-Apr-02,GENIN,0010301,N,,,16-Apr-02,,,,,MEX$,N,,0
00157,TA0010,I,16-Apr-02,21150.84,21150.84,0,03-May-02,14-May-02,A,15,,A,0,,0,,B,16-Apr-02,SYSADM,A,,,1,1,16-Apr-02,GENIN,103-021-001,N,,,16-Apr-02,,,,,MEX$,N,,0
00151,CA0006,I,13-Apr-02,666,666,0,15-Apr-02,15-Apr-02,A,14,,A,0,,0,14 DIAS FECHA FACTURA,C,13-Apr-02,HOMERO,A,,,1,1,13-Apr-02,GENIN,103-009-003,N,,,13-Apr-02,,,,,MEX$,N,,0
00155,CA0014,I,16-Apr-02,39645.94,39645.94,0,22-May-02,29-May-02,A,28,,A,0,,0,28 DIAS FECHA FACTURA,B,16-Apr-02,SYSADM,A,,,1,1,16-Apr-02,GENIN,103-015-002,N,,,16-Apr-02,,,,,MEX$,N,,0
00290,CA0029,I,23-Jul-02,1091.12,1091.12,0,23-Jul-02,23-Jul-02,A,0,,A,0,,0,,B,23-Jul-02,HOMERO,A,,,1,1,23-Jul-02,GENIN,103-008-002,N,,,23-Jul-02,,,,,MEX$,N,,0
00019,DA0003,I,13-Feb-02,954.34,954.34,0,01-Mar-02,07-Mar-02,A,0,,A,0,,0,CHEQUE POSTFECHADO A 7 DÍAS,P,13-Feb-02,HOMERO,A,,,1,1,13-Feb-02,GENIN,1234,N,,,23-Feb-02,,,,,MEX$,N,,0
00291,DA0001,I,25-Jul-02,28635,28635,0,25-Jul-02,09-Feb-10,A,14,,A,0,,0,14 DIAS FECHA FACTURA,B,25-Jul-02,HOMERO,A,,,1,1,25-Jul-02,GENIN,103-021-002,N,,,25-Jul-02,,,,,MEX$,N,,0
00024,CA0014,I,14-Feb-02,22181.43,22181.43,0,15-Mar-02,15-Mar-02,A,28,,A,0,,0,,B,14-Feb-02,SYSADM,A,,,1,1,14-Feb-02,GENIN,1234,N,,,23-Feb-02,,,,,MEX$,N,,0
00026,TA0010,I,16-Feb-02,10998.83,10998.83,0,25-Feb-02,07-Mar-02,A,,,A,,,,,B,15-Feb-02,HOMERO,A,,,1,1,16-Feb-02,GENIN,1234,N,,,25-Jan-05,,,,,MEX$,N,,0
00653,CA0006,I,27-Feb-03,20458.72,20458.72,0,18-Mar-03,18-Mar-03,A,14,,A,0,,0,14 DIAS FECHA FACTURA,C,27-Feb-03,SYSADM,A,,,1,1,27-Feb-03,GENIN,103-009-003,N,,,27-Feb-03,,,,,MEX$,N,,0
00035,CA0018,I,23-Feb-02,1035,1035,0,23-Feb-02,07-Mar-02,A,0,,A,0,,0,CONTADO,B,23-Feb-02,HOMERO,A,,,1,1,23-Feb-02,GENIN,1234,N,,,04-Mar-02,,,,,MEX$,N,,0
00048,CA0006,I,25-Feb-02,934.62,934.62,0,25-Feb-02,07-Mar-02,A,0,,A,0,,0,CONTADO,B,25-Feb-02,HOMERO,A,,,1,1,25-Feb-02,GENIN,1234,N,,,27-Feb-02,,,,,MEX$,N,,0
00052,DA0003,I,26-Feb-02,1908.68,1908.68,0,25-Mar-02,25-Mar-02,A,0,,A,0,,0,CHEQUE POSTFECHADO 7 DÍAS,B,26-Feb-02,HOMERO,A,,,1,1,26-Feb-02,GENIN,1234,N,,,27-Feb-02,,,,,MEX$,N,,0
00041,CA0006,I,25-Feb-02,7672.8,7672.8,0,25-Mar-02,25-Mar-02,A,14,,A,0,,0,,C,25-Feb-02,HOMERO,A,,,1,1,25-Feb-02,GENIN,1234,N,,,25-Feb-02,,,,,MEX$,N,,0
00056,CA0017,I,01-Mar-02,1520.7,1520.7,0,13-Mar-02,13-Mar-02,A,0,,A,0,,0,CONTADO,B,01-Mar-02,SYSADM,A,,,1,1,01-Mar-02,GENIN,0010301,N,,,01-Mar-02,,,,,MEX$,N,,0
00057,TA0010,I,01-Mar-02,11666.64,11666.64,0,18-Mar-02,25-Mar-02,A,0,,A,0,,0,,B,01-Mar-02,SYSADM,A,,,1,1,01-Mar-02,GENIN,0010301,N,,,01-Mar-02,,,,,MEX$,N,,0
00059,TA0007,I,04-Mar-02,43676.66,43676.66,0,02-Apr-02,02-Apr-02,A,30,,A,0,,0,,B,02-Mar-02,HOMERO,A,,,1,1,04-Mar-02,GENIN,0010301,N,,,04-Mar-02,,,,,MEX$,N,,0
00063,DA0001,I,04-Mar-02,11270,11270,0,25-Mar-02,25-Mar-02,A,30,,A,0,,0,CONTADO,B,04-Mar-02,SYSADM,A,,,1,1,04-Mar-02,GENIN,0010301,N,,,04-Mar-02,,,,,MEX$,N,,0
00067,CA0017,I,06-Mar-02,22586,22586,0,13-Mar-02,13-Mar-02,A,0,,A,0,,0,CONTADO,C,06-Mar-02,SYSADM,A,,,1,1,06-Mar-02,GENIN,103009001,N,,,06-Mar-02,,,,,MEX$,N,,0
00068,TA0003,I,06-Mar-02,11252.52,11252.52,0,04-Apr-02,08-Apr-02,A,30,,A,0,,0,CHEQUE POSTFECHADO 28 DIAS,B,06-Mar-02,SYSADM,A,,,1,1,06-Mar-02,GENIN,103003003,N,,,06-Mar-02,,,,,MEX$,N,,0
00071,TI0001,I,07-Mar-02,109882.5,109882.5,0,08-Apr-02,08-Apr-02,A,14,,A,0,,0,CREDITO / 14 DIAS FECHA FACTURA,B,07-Mar-02,SYSADM,A,,,1,1,07-Mar-02,GENIN,0010301,N,,,07-Mar-02,,,,,MEX$,N,,0
